Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
114	-15	15	2017	114	-15	15	2017	114	-15	15	2017	114	-15	15	2017	114	-15	15	2017	114	-15	15	2017	114	-15	15	2017	114	-15	15	2017	114	-15	15	2017
115	-20	20	2037	115	-20	20	2037	115	-20	20	2037	115	-20	20	2037	115	-20	20	2037	115	-20	20	2037	115	-20	20	2037	115	-20	20	2037	115	-20	20	2037
116	-17	17	2054	116	-17	17	2054	116	-17	17	2054	116	-17	17	2054	116	-17	17	2054	116	-17	17	2054	116	-17	17	2054	116	-17	17	2054	116	-17	17	2054
117	-21	21	2075	117	-21	21	2075	117	-21	21	2075	117	-21	21	2075	117	-21	21	2075	117	-21	21	2075	117	-21	21	2075	117	-21	21	2075	117	-21	21	2075
118	-15	15	2090	118	-15	15	2090	118	-15	15	2090	118	-15	15	2090	118	-15	15	2090	118	-15	15	2090	118	-15	15	2090	118	-15	15	2090	118	-15	15	2090
119	-17	17	2107	119	-17	17	2107	119	-17	17	2107	119	-17	17	2107	119	-17	17	2107	119	-17	17	2107	119	-17	17	2107	119	-17	17	2107	119	-17	17	2107
120	-21	21	2128	120	-21	21	2128	120	-21	21	2128	120	-21	21	2128	120	-21	21	2128	120	-21	21	2128	120	-21	21	2128	120	-21	21	2128	120	-21	21	2128
121	-15	15	2143	121	-15	15	2143	121	-15	15	2143	121	-15	15	2143	121	-15	15	2143	121	-15	15	2143	121	-15	15	2143	121	-15	15	2143	121	-15	15	2143
122	-15	15	2158	122	-15	15	2158	122	-15	15	2158	122	-15	15	2158	122	-15	15	2158	122	-15	15	2158	122	-15	15	2158	122	-15	15	2158	122	-15	15	2158
123	-17	17	2175	123	-17	17	2175	123	-17	17	2175	123	-17	17	2175	123	-17	17	2175	123	-17	17	2175	123	-17	17	2175	123	-17	17	2175	123	-17	17	2175
124	-15	15	2190	124	-15	15	2190	124	-15	15	2190	124	-15	15	2190	124	-15	15	2190	124	-15	15	2190	124	-15	15	2190	124	-15	15	2190	124	-15	15	2190
125	-15	15	2205	125	-15	15	2205	125	-15	15	2205	125	-15	15	2205	125	-15	15	2205	125	-15	15	2205	125	-15	15	2205	125	-15	15	2205	125	-15	15	2205
126	-15	15	2220	126	-15	15	2220	126	-15	15	2220	126	-15	15	2220	126	-15	15	2220	126	-15	15	2220	126	-15	15	2220	126	-15	15	2220	126	-15	15	2220
127	-15	15	2235	127	-15	15	2235	127	-15	15	2235	127	-15	15	2235	127	-15	15	2235	127	-15	15	2235	127	-15	15	2235	127	-15	15	2235	127	-15	15	2235
128	-15	15	2250	128	-15	15	2250	128	-15	15	2250	128	-15	15	2250	128	-15	15	2250	128	-15	15	2250	128	-15	15	2250	128	-15	15	2250	128	-15	15	2250
129	-19	19	2269	129	-19	19	2269	129	-19	19	2269	129	-19	19	2269	129	-19	19	2269	129	-19	19	2269	129	-19	19	2269	129	-19	19	2269	129	-19	19	2269
130	-16	16	2285	130	-16	16	2285	130	-16	16	2285	130	-16	16	2285	130	-16	16	2285	130	-16	16	2285	130	-16	16	2285	130	-16	16	2285	130	-16	16	2285
131	-116	17	2302	131	-116	17	2302	131	-116	17	2302	131	-116	17	2302	131	-116	17	2302	131	-116	17	2302	131	-116	17	2302	131	-116	17	2302	131	-116	17	2302
132	-16	16	2318	132	-16	16	2318	132	-16	16	2318	132	-16	16	2318	132	-16	16	2318	132	-16	16	2318	132	-16	16	2318	132	-16	16	2318	132	-16	16	2318
133	-15	15	2333	133	-15	15	2333	133	-15	15	2333	133	-15	15	2333	133	-15	15	2333	133	-15	15	2333	133	-15	15	2333	133	-15	15	2333	133	-15	15	2333
134	-22	22	2355	134	-22	22	2355	134	-22	22	2355	134	-22	22	2355	134	-22	22	2355	134	-22	22	2355	134	-22	22	2355	134	-22	22	2355	134	-22	22	2355
135	-15	15	2370	135	-15	15	2370	135	-15	15	2370	135	-15	15	2370	135	-15	15	2370	135	-15	15	2370	135	-15	15	2370	135	-15	15	2370	135	-15	15	2370
136	-19	19	2389	136	-19	19	2389	136	-19	19	2389	136	-19	19	2389	136	-19	19	2389	136	-19	19	2389	136	-19	19	2389	136	-19	19	2389	136	-19	19	2389
137	-15	15	2404	137	-15	15	2404	137	-15	15	2404	137	-15	15	2404	137	-15	15	2404	137	-15	15	2404	137	-15	15	2404	137	-15	15	2404	137	-15	15	2404
138	-18	18	2422	138	-18	18	2422	138	-18	18	2422	138	-18	18	2422	138	-18	18	2422	138	-18	18	2422	138	-18	18	2422	138	-18	18	2422	138	-18	18	2422
139	-19	19	2441	139	-19	19	2441	139	-19	19	2441	139	-19	19	2441	139	-19	19	2441	139	-19	19	2441	139	-19	19	2441	139	-19	19	2441	139	-19	19	2441
140	-17	17	2458	140	-17	17	2458	140	-17	17	2458	140	-17	17	2458	140	-17	17	2458	140	-17	17	2458	140	-17	17	2458	140	-17	17	2458	140	-17	17	2458
141	-19	19	2477	141	-19	19	2477	141	-19	19	2477	141	-19	19	2477	141	-19	19	2477	141	-19	19	2477	141	-19	19	2477	141	-19	19	2477	141	-19	19	2477
142	-19	19	2496	142	-19	19	2496	142	-19	19	2496	142	-19	19	2496	142	-19	19	2496	142	-19	19	2496	142	-19	19	2496	142	-19	19	2496	142	-19	19	2496
143	-17	17	2513	143	-17	17	2513	143	-17	17	2513	143	-17	17	2513	143	-17	17	2513	143	-17	17	2513	143	-17	17	2513	143	-17	17	2513	143	-17	17	2513
144	-22	22	2535	144	-22	22	2535	144	-22	22	2535	144	-22	22	2535	144	-22	22	2535	144	-22	22	2535	144	-22	22	2535	144	-22	22	2535	144	-22	22	2535
145	-17	17	2552	145	-17	17	2552	145	-17	17	2552	145	-17	17	2552	145	-17	17	2552	145	-17	17	2552	145	-17	17	2552	145	-17	17	2552	145	-17	17	2552
146	-15	15	2567	146	-15	15	2567	146	-15	15	2567	146	-15	15	2567	146	-15	15	2567	146	-15	15	2567	146	-15	15	2567	146	-15	15	2567	146	-15	15	2567
147	-18	18	2585	147	-18	18	2585	147	-18	18	2585	147	-18	18	2585	147	-18	18	2585	147	-18	18	2585	147	-18	18	2585	147	-18	18	2585	147	-18	18	2585
148	-15	15	2600	148	-15	15	2600	148	-15	15	2600	148	-15	15	2600	148	-15	15	2600	148	-15	15	2600	148	-15	15	2600	148	-15	15	2600	148	-15	15	2600
149	-117	18	2618	149	-117	18	2618	149	-117	18	2618	149	-117	18	2618	149	-117	18	2618	149	-117	18	2618	149	-117	18	2618	149	-117	18	2618	149	-117	18	2618
150	-17	17	2635	150	-17	17	2635	150	-17	17	2635	150	-17	17	2635	150	-17	17	2635	150	-17	17	2635	150	-17	17	2635	150	-17	17	2635	150	-17	17	2635
151	-15	15	2650	151	-15	15	2650	151	-15	15	2650	151	-15	15	2650	151	-15	15	2650	151	-15	15	2650	151	-15	15	2650	151	-15	15	2650	151	-15	15	2650
152	-19	19	2669	152	-19	19	2669	152	-19	19	2669	152	-19	19	2669	152	-19	19	2669	152	-19	19	2669	152	-19	19	2669	152	-19	19	2669	152	-19	19	2669
