Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110	64	-410	113	7110
65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150	65	-40	40	7150
66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184	66	-34	34	7184
67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232	67	-48	48	7232
68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282	68	-149	50	7282
69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322	69	-40	40	7322
70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349	70	-27	27	7349
71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420	71	-71	71	7420
72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454	72	-34	34	7454
73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483	73	-29	29	7483
