Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
119	-15	15	2280	119	-15	15	2280	119	-15	15	2280	119	-15	15	2280	119	-15	15	2280	119	-15	15	2280	119	-15	15	2280	119	-15	15	2280	119	-15	15	2280	119	-15	15	2280
120	-15	15	2295	120	-15	15	2295	120	-15	15	2295	120	-15	15	2295	120	-15	15	2295	120	-15	15	2295	120	-15	15	2295	120	-15	15	2295	120	-15	15	2295	120	-15	15	2295
121	-22	22	2317	121	-22	22	2317	121	-22	22	2317	121	-22	22	2317	121	-22	22	2317	121	-22	22	2317	121	-22	22	2317	121	-22	22	2317	121	-22	22	2317	121	-22	22	2317
122	-15	15	2332	122	-15	15	2332	122	-15	15	2332	122	-15	15	2332	122	-15	15	2332	122	-15	15	2332	122	-15	15	2332	122	-15	15	2332	122	-15	15	2332	122	-15	15	2332
123	-15	15	2347	123	-15	15	2347	123	-15	15	2347	123	-15	15	2347	123	-15	15	2347	123	-15	15	2347	123	-15	15	2347	123	-15	15	2347	123	-15	15	2347	123	-15	15	2347
124	-15	15	2362	124	-15	15	2362	124	-15	15	2362	124	-15	15	2362	124	-15	15	2362	124	-15	15	2362	124	-15	15	2362	124	-15	15	2362	124	-15	15	2362	124	-15	15	2362
125	-20	20	2382	125	-20	20	2382	125	-20	20	2382	125	-20	20	2382	125	-20	20	2382	125	-20	20	2382	125	-20	20	2382	125	-20	20	2382	125	-20	20	2382	125	-20	20	2382
126	-19	19	2401	126	-19	19	2401	126	-19	19	2401	126	-19	19	2401	126	-19	19	2401	126	-19	19	2401	126	-19	19	2401	126	-19	19	2401	126	-19	19	2401	126	-19	19	2401
127	-16	16	2417	127	-16	16	2417	127	-16	16	2417	127	-16	16	2417	127	-16	16	2417	127	-16	16	2417	127	-16	16	2417	127	-16	16	2417	127	-16	16	2417	127	-16	16	2417
128	-19	19	2436	128	-19	19	2436	128	-19	19	2436	128	-19	19	2436	128	-19	19	2436	128	-19	19	2436	128	-19	19	2436	128	-19	19	2436	128	-19	19	2436	128	-19	19	2436
129	-18	18	2454	129	-18	18	2454	129	-18	18	2454	129	-18	18	2454	129	-18	18	2454	129	-18	18	2454	129	-18	18	2454	129	-18	18	2454	129	-18	18	2454	129	-18	18	2454
130	-17	17	2471	130	-17	17	2471	130	-17	17	2471	130	-17	17	2471	130	-17	17	2471	130	-17	17	2471	130	-17	17	2471	130	-17	17	2471	130	-17	17	2471	130	-17	17	2471
131	-15	15	2486	131	-15	15	2486	131	-15	15	2486	131	-15	15	2486	131	-15	15	2486	131	-15	15	2486	131	-15	15	2486	131	-15	15	2486	131	-15	15	2486	131	-15	15	2486
132	-21	21	2507	132	-21	21	2507	132	-21	21	2507	132	-21	21	2507	132	-21	21	2507	132	-21	21	2507	132	-21	21	2507	132	-21	21	2507	132	-21	21	2507	132	-21	21	2507
133	-20	20	2527	133	-20	20	2527	133	-20	20	2527	133	-20	20	2527	133	-20	20	2527	133	-20	20	2527	133	-20	20	2527	133	-20	20	2527	133	-20	20	2527	133	-20	20	2527
134	-16	16	2543	134	-16	16	2543	134	-16	16	2543	134	-16	16	2543	134	-16	16	2543	134	-16	16	2543	134	-16	16	2543	134	-16	16	2543	134	-16	16	2543	134	-16	16	2543
135	-18	18	2561	135	-18	18	2561	135	-18	18	2561	135	-18	18	2561	135	-18	18	2561	135	-18	18	2561	135	-18	18	2561	135	-18	18	2561	135	-18	18	2561	135	-18	18	2561
136	-15	15	2576	136	-15	15	2576	136	-15	15	2576	136	-15	15	2576	136	-15	15	2576	136	-15	15	2576	136	-15	15	2576	136	-15	15	2576	136	-15	15	2576	136	-15	15	2576
