Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
246	-145.0	145	37519	246	-145.0	145	37519
247	-110.0	110	37629	247	-110.0	110	37629
248	-146.0	146	37775	248	-146.0	146	37775
249	-111.0	111	37886	249	-111.0	111	37886
250	-146.0	146	38032	250	-146.0	146	38032
251	-138.0	138	38170	251	-138.0	138	38170
252	-112.0	112	38282	252	-112.0	112	38282
253	-121.0	121	38403	253	-121.0	121	38403
254	-141.0	141	38544	254	-141.0	141	38544
255	-135.0	135	38679	255	-135.0	135	38679
256	-138.0	138	38817	256	-138.0	138	38817
257	-136.0	136	38953	257	-136.0	136	38953
258	-108.0	108	39061	258	-108.0	108	39061
259	-106.0	106	39167	259	-106.0	106	39167
260	-140.0	140	39307	260	-140.0	140	39307
261	-136.0	136	39443	261	-136.0	136	39443
262	-107.0	107	39550	262	-107.0	107	39550
263	-134.0	134	39684	263	-134.0	134	39684
264	-132.0	132	39816	264	-132.0	132	39816
265	-135.0	135	39951	265	-135.0	135	39951
266	-132.0	132	40083	266	-132.0	132	40083
267	-134.0	134	40217	267	-134.0	134	40217
268	-135.0	135	40352	268	-135.0	135	40352
269	-139.0	139	40491	269	-139.0	139	40491
270	-110.0	110	40601	270	-110.0	110	40601
271	-147.0	147	40748	271	-147.0	147	40748
272	-109.0	109	40857	272	-109.0	109	40857
273	-107.0	107	40964	273	-107.0	107	40964
274	-143.0	143	41107	274	-143.0	143	41107
275	-111.0	111	41218	275	-111.0	111	41218
276	-137.0	137	41355	276	-137.0	137	41355
277	-108.0	108	41463	277	-108.0	108	41463
278	-112.0	112	41575	278	-112.0	112	41575
279	-135.0	135	41710	279	-135.0	135	41710
280	-135.0	135	41845	280	-135.0	135	41845
281	-164.0	164	42009	281	-164.0	164	42009
282	-111.0	111	42120	282	-111.0	111	42120
283	-138.0	138	42258	283	-138.0	138	42258
284	-134.0	134	42392	284	-134.0	134	42392
285	-135.0	135	42527	285	-135.0	135	42527
286	-106.0	106	42633	286	-106.0	106	42633
287	-134.0	134	42767	287	-134.0	134	42767
288	-106.0	106	42873	288	-106.0	106	42873
289	-134.0	134	43007	289	-134.0	134	43007
290	-134.0	134	43141	290	-134.0	134	43141
291	-106.0	106	43247	291	-106.0	106	43247
292	-136.0	136	43383	292	-136.0	136	43383
293	-107.0	107	43490	293	-107.0	107	43490
294	-136.0	136	43626	294	-136.0	136	43626
295	-108.0	108	43734	295	-108.0	108	43734
296	-138.0	138	43872	296	-138.0	138	43872
297	-112.0	112	43984	297	-112.0	112	43984
298	-137.0	137	44121	298	-137.0	137	44121
299	-137.0	137	44258	299	-137.0	137	44258
