Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
145	-19	19	2622	145	-19	19	2622	145	-19	19	2622	145	-19	19	2622	145	-19	19	2622	145	-19	19	2622
146	-21	21	2643	146	-21	21	2643	146	-21	21	2643	146	-21	21	2643	146	-21	21	2643	146	-21	21	2643
147	-17	17	2660	147	-17	17	2660	147	-17	17	2660	147	-17	17	2660	147	-17	17	2660	147	-17	17	2660
148	-17	17	2677	148	-17	17	2677	148	-17	17	2677	148	-17	17	2677	148	-17	17	2677	148	-17	17	2677
149	-21	21	2698	149	-21	21	2698	149	-21	21	2698	149	-21	21	2698	149	-21	21	2698	149	-21	21	2698
150	-17	17	2715	150	-17	17	2715	150	-17	17	2715	150	-17	17	2715	150	-17	17	2715	150	-17	17	2715
151	-17	17	2732	151	-17	17	2732	151	-17	17	2732	151	-17	17	2732	151	-17	17	2732	151	-17	17	2732
152	-17	17	2749	152	-17	17	2749	152	-17	17	2749	152	-17	17	2749	152	-17	17	2749	152	-17	17	2749
153	-19	19	2768	153	-19	19	2768	153	-19	19	2768	153	-19	19	2768	153	-19	19	2768	153	-19	19	2768
154	-20	20	2788	154	-20	20	2788	154	-20	20	2788	154	-20	20	2788	154	-20	20	2788	154	-20	20	2788
155	-25	25	2813	155	-25	25	2813	155	-25	25	2813	155	-25	25	2813	155	-25	25	2813	155	-25	25	2813
156	-21	21	2834	156	-21	21	2834	156	-21	21	2834	156	-21	21	2834	156	-21	21	2834	156	-21	21	2834
157	-19	19	2853	157	-19	19	2853	157	-19	19	2853	157	-19	19	2853	157	-19	19	2853	157	-19	19	2853
158	-17	17	2870	158	-17	17	2870	158	-17	17	2870	158	-17	17	2870	158	-17	17	2870	158	-17	17	2870
159	-21	21	2891	159	-21	21	2891	159	-21	21	2891	159	-21	21	2891	159	-21	21	2891	159	-21	21	2891
160	-28	28	2919	160	-28	28	2919	160	-28	28	2919	160	-28	28	2919	160	-28	28	2919	160	-28	28	2919
161	-19	19	2938	161	-19	19	2938	161	-19	19	2938	161	-19	19	2938	161	-19	19	2938	161	-19	19	2938
162	-17	17	2955	162	-17	17	2955	162	-17	17	2955	162	-17	17	2955	162	-17	17	2955	162	-17	17	2955
163	-20	20	2975	163	-20	20	2975	163	-20	20	2975	163	-20	20	2975	163	-20	20	2975	163	-20	20	2975
164	-17	17	2992	164	-17	17	2992	164	-17	17	2992	164	-17	17	2992	164	-17	17	2992	164	-17	17	2992
165	-19	19	3011	165	-19	19	3011	165	-19	19	3011	165	-19	19	3011	165	-19	19	3011	165	-19	19	3011
166	-17	17	3028	166	-17	17	3028	166	-17	17	3028	166	-17	17	3028	166	-17	17	3028	166	-17	17	3028
167	-18	18	3046	167	-18	18	3046	167	-18	18	3046	167	-18	18	3046	167	-18	18	3046	167	-18	18	3046
168	-22	22	3068	168	-22	22	3068	168	-22	22	3068	168	-22	22	3068	168	-22	22	3068	168	-22	22	3068
169	-20	20	3088	169	-20	20	3088	169	-20	20	3088	169	-20	20	3088	169	-20	20	3088	169	-20	20	3088
170	-19	19	3107	170	-19	19	3107	170	-19	19	3107	170	-19	19	3107	170	-19	19	3107	170	-19	19	3107
171	-17	17	3124	171	-17	17	3124	171	-17	17	3124	171	-17	17	3124	171	-17	17	3124	171	-17	17	3124
172	-21	21	3145	172	-21	21	3145	172	-21	21	3145	172	-21	21	3145	172	-21	21	3145	172	-21	21	3145
173	-220	22	3167	173	-220	22	3167	173	-220	22	3167	173	-220	22	3167	173	-220	22	3167	173	-220	22	3167
174	-22	22	3189	174	-22	22	3189	174	-22	22	3189	174	-22	22	3189	174	-22	22	3189	174	-22	22	3189
175	-18	18	3207	175	-18	18	3207	175	-18	18	3207	175	-18	18	3207	175	-18	18	3207	175	-18	18	3207
176	-17	17	3224	176	-17	17	3224	176	-17	17	3224	176	-17	17	3224	176	-17	17	3224	176	-17	17	3224
177	-15	15	3239	177	-15	15	3239	177	-15	15	3239	177	-15	15	3239	177	-15	15	3239	177	-15	15	3239
178	-15	15	3254	178	-15	15	3254	178	-15	15	3254	178	-15	15	3254	178	-15	15	3254	178	-15	15	3254
179	-19	19	3273	179	-19	19	3273	179	-19	19	3273	179	-19	19	3273	179	-19	19	3273	179	-19	19	3273
180	-19	19	3292	180	-19	19	3292	180	-19	19	3292	180	-19	19	3292	180	-19	19	3292	180	-19	19	3292
181	-17	17	3309	181	-17	17	3309	181	-17	17	3309	181	-17	17	3309	181	-17	17	3309	181	-17	17	3309
182	-15	15	3324	182	-15	15	3324	182	-15	15	3324	182	-15	15	3324	182	-15	15	3324	182	-15	15	3324
183	-19	19	3343	183	-19	19	3343	183	-19	19	3343	183	-19	19	3343	183	-19	19	3343	183	-19	19	3343
184	-17	17	3360	184	-17	17	3360	184	-17	17	3360	184	-17	17	3360	184	-17	17	3360	184	-17	17	3360
185	-25	25	3385	185	-25	25	3385	185	-25	25	3385	185	-25	25	3385	185	-25	25	3385	185	-25	25	3385
186	-17	17	3402	186	-17	17	3402	186	-17	17	3402	186	-17	17	3402	186	-17	17	3402	186	-17	17	3402
187	-17	17	3419	187	-17	17	3419	187	-17	17	3419	187	-17	17	3419	187	-17	17	3419	187	-17	17	3419
188	-20	20	3439	188	-20	20	3439	188	-20	20	3439	188	-20	20	3439	188	-20	20	3439	188	-20	20	3439
