Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
120	-109.0	109	19370	120	-109.0	109	19370	120	-109.0	109	19370	120	-109.0	109	19370
121	-109.0	109	19479	121	-109.0	109	19479	121	-109.0	109	19479	121	-109.0	109	19479
122	-107.0	107	19586	122	-107.0	107	19586	122	-107.0	107	19586	122	-107.0	107	19586
123	-149.0	149	19735	123	-149.0	149	19735	123	-149.0	149	19735	123	-149.0	149	19735
124	-177.0	177	19912	124	-177.0	177	19912	124	-177.0	177	19912	124	-177.0	177	19912
125	-142.0	142	20054	125	-142.0	142	20054	125	-142.0	142	20054	125	-142.0	142	20054
126	-138.0	138	20192	126	-138.0	138	20192	126	-138.0	138	20192	126	-138.0	138	20192
127	-135.0	135	20327	127	-135.0	135	20327	127	-135.0	135	20327	127	-135.0	135	20327
128	-143.0	143	20470	128	-143.0	143	20470	128	-143.0	143	20470	128	-143.0	143	20470
129	-186.0	186	20656	129	-186.0	186	20656	129	-186.0	186	20656	129	-186.0	186	20656
130	-177.0	177	20833	130	-177.0	177	20833	130	-177.0	177	20833	130	-177.0	177	20833
131	-143.0	143	20976	131	-143.0	143	20976	131	-143.0	143	20976	131	-143.0	143	20976
132	-181.0	181	21157	132	-181.0	181	21157	132	-181.0	181	21157	132	-181.0	181	21157
133	-111.0	111	21268	133	-111.0	111	21268	133	-111.0	111	21268	133	-111.0	111	21268
134	-108.0	108	21376	134	-108.0	108	21376	134	-108.0	108	21376	134	-108.0	108	21376
135	-162.0	162	21538	135	-162.0	162	21538	135	-162.0	162	21538	135	-162.0	162	21538
136	-108.0	108	21646	136	-108.0	108	21646	136	-108.0	108	21646	136	-108.0	108	21646
137	-106.0	106	21752	137	-106.0	106	21752	137	-106.0	106	21752	137	-106.0	106	21752
138	-166.0	166	21918	138	-166.0	166	21918	138	-166.0	166	21918	138	-166.0	166	21918
139	-140.0	140	22058	139	-140.0	140	22058	139	-140.0	140	22058	139	-140.0	140	22058
140	-110.0	110	22168	140	-110.0	110	22168	140	-110.0	110	22168	140	-110.0	110	22168
141	-174.0	174	22342	141	-174.0	174	22342	141	-174.0	174	22342	141	-174.0	174	22342
142	-136.0	136	22478	142	-136.0	136	22478	142	-136.0	136	22478	142	-136.0	136	22478
143	-160.0	160	22638	143	-160.0	160	22638	143	-160.0	160	22638	143	-160.0	160	22638
144	-154.0	154	22792	144	-154.0	154	22792	144	-154.0	154	22792	144	-154.0	154	22792
145	-120.0	120	22912	145	-120.0	120	22912	145	-120.0	120	22912	145	-120.0	120	22912
146	-144.0	144	23056	146	-144.0	144	23056	146	-144.0	144	23056	146	-144.0	144	23056
147	-144.0	144	23200	147	-144.0	144	23200	147	-144.0	144	23200	147	-144.0	144	23200
148	-147.0	147	23347	148	-147.0	147	23347	148	-147.0	147	23347	148	-147.0	147	23347
149	-136.0	136	23483	149	-136.0	136	23483	149	-136.0	136	23483	149	-136.0	136	23483
150	-131.0	131	23614	150	-131.0	131	23614	150	-131.0	131	23614	150	-131.0	131	23614
151	-146.0	146	23760	151	-146.0	146	23760	151	-146.0	146	23760	151	-146.0	146	23760
152	-134.0	134	23894	152	-134.0	134	23894	152	-134.0	134	23894	152	-134.0	134	23894
153	-139.0	139	24033	153	-139.0	139	24033	153	-139.0	139	24033	153	-139.0	139	24033
154	-106.0	106	24139	154	-106.0	106	24139	154	-106.0	106	24139	154	-106.0	106	24139
155	-138.0	138	24277	155	-138.0	138	24277	155	-138.0	138	24277	155	-138.0	138	24277
156	-148.0	148	24425	156	-148.0	148	24425	156	-148.0	148	24425	156	-148.0	148	24425
157	-138.0	138	24563	157	-138.0	138	24563	157	-138.0	138	24563	157	-138.0	138	24563
158	-137.0	137	24700	158	-137.0	137	24700	158	-137.0	137	24700	158	-137.0	137	24700
159	-114.0	114	24814	159	-114.0	114	24814	159	-114.0	114	24814	159	-114.0	114	24814
160	-132.0	132	24946	160	-132.0	132	24946	160	-132.0	132	24946	160	-132.0	132	24946
161	-106.0	106	25052	161	-106.0	106	25052	161	-106.0	106	25052	161	-106.0	106	25052
162	-138.0	138	25190	162	-138.0	138	25190	162	-138.0	138	25190	162	-138.0	138	25190
163	-137.0	137	25327	163	-137.0	137	25327	163	-137.0	137	25327	163	-137.0	137	25327
164	-145.0	145	25472	164	-145.0	145	25472	164	-145.0	145	25472	164	-145.0	145	25472
165	-171.0	171	25643	165	-171.0	171	25643	165	-171.0	171	25643	165	-171.0	171	25643
166	-198.0	198	25841	166	-198.0	198	25841	166	-198.0	198	25841	166	-198.0	198	25841
167	-136.0	136	25977	167	-136.0	136	25977	167	-136.0	136	25977	167	-136.0	136	25977
168	-137.0	137	26114	168	-137.0	137	26114	168	-137.0	137	26114	168	-137.0	137	26114
169	-184.0	184	26298	169	-184.0	184	26298	169	-184.0	184	26298	169	-184.0	184	26298
170	-141.0	141	26439	170	-141.0	141	26439	170	-141.0	141	26439	170	-141.0	141	26439
171	-183.0	183	26622	171	-183.0	183	26622	171	-183.0	183	26622	171	-183.0	183	26622
172	-190.0	190	26812	172	-190.0	190	26812	172	-190.0	190	26812	172	-190.0	190	26812
173	-106.0	106	26918	173	-106.0	106	26918	173	-106.0	106	26918	173	-106.0	106	26918
174	-109.0	109	27027	174	-109.0	109	27027	174	-109.0	109	27027	174	-109.0	109	27027
175	-108.0	108	27135	175	-108.0	108	27135	175	-108.0	108	27135	175	-108.0	108	27135
176	-148.0	148	27283	176	-148.0	148	27283	176	-148.0	148	27283	176	-148.0	148	27283
177	-113.0	113	27396	177	-113.0	113	27396	177	-113.0	113	27396	177	-113.0	113	27396
178	-142.0	142	27538	178	-142.0	142	27538	178	-142.0	142	27538	178	-142.0	142	27538
179	-108.0	108	27646	179	-108.0	108	27646	179	-108.0	108	27646	179	-108.0	108	27646
180	-144.0	144	27790	180	-144.0	144	27790	180	-144.0	144	27790	180	-144.0	144	27790
181	-109.0	109	27899	181	-109.0	109	27899	181	-109.0	109	27899	181	-109.0	109	27899
182	-109.0	109	28008	182	-109.0	109	28008	182	-109.0	109	28008	182	-109.0	109	28008
183	-162.0	162	28170	183	-162.0	162	28170	183	-162.0	162	28170	183	-162.0	162	28170
184	-150.0	150	28320	184	-150.0	150	28320	184	-150.0	150	28320	184	-150.0	150	28320
185	-152.0	152	28472	185	-152.0	152	28472	185	-152.0	152	28472	185	-152.0	152	28472
186	-140.0	140	28612	186	-140.0	140	28612	186	-140.0	140	28612	186	-140.0	140	28612
187	-118.0	118	28730	187	-118.0	118	28730	187	-118.0	118	28730	187	-118.0	118	28730
188	-188.0	188	28918	188	-188.0	188	28918	188	-188.0	188	28918	188	-188.0	188	28918
189	-111.0	111	29029	189	-111.0	111	29029	189	-111.0	111	29029	189	-111.0	111	29029
190	-113.0	113	29142	190	-113.0	113	29142	190	-113.0	113	29142	190	-113.0	113	29142
191	-111.0	111	29253	191	-111.0	111	29253	191	-111.0	111	29253	191	-111.0	111	29253
192	-141.0	141	29394	192	-141.0	141	29394	192	-141.0	141	29394	192	-141.0	141	29394
193	-110.0	110	29504	193	-110.0	110	29504	193	-110.0	110	29504	193	-110.0	110	29504
194	-157.0	157	29661	194	-157.0	157	29661	194	-157.0	157	29661	194	-157.0	157	29661
195	-154.0	154	29815	195	-154.0	154	29815	195	-154.0	154	29815	195	-154.0	154	29815
196	-133.0	133	29948	196	-133.0	133	29948	196	-133.0	133	29948	196	-133.0	133	29948
197	-134.0	134	30082	197	-134.0	134	30082	197	-134.0	134	30082	197	-134.0	134	30082
198	-169.0	169	30251	198	-169.0	169	30251	198	-169.0	169	30251	198	-169.0	169	30251
199	-164.0	164	30415	199	-164.0	164	30415	199	-164.0	164	30415	199	-164.0	164	30415
200	-160.0	160	30575	200	-160.0	160	30575	200	-160.0	160	30575	200	-160.0	160	30575
201	-172.0	172	30747	201	-172.0	172	30747	201	-172.0	172	30747	201	-172.0	172	30747
202	-146.0	146	30893	202	-146.0	146	30893	202	-146.0	146	30893	202	-146.0	146	30893
203	-136.0	136	31029	203	-136.0	136	31029	203	-136.0	136	31029	203	-136.0	136	31029
204	-145.0	145	31174	204	-145.0	145	31174	204	-145.0	145	31174	204	-145.0	145	31174
205	-139.0	139	31313	205	-139.0	139	31313	205	-139.0	139	31313	205	-139.0	139	31313
206	-154.0	154	31467	206	-154.0	154	31467	206	-154.0	154	31467	206	-154.0	154	31467
207	-153.0	153	31620	207	-153.0	153	31620	207	-153.0	153	31620	207	-153.0	153	31620
208	-140.0	140	31760	208	-140.0	140	31760	208	-140.0	140	31760	208	-140.0	140	31760
209	-135.0	135	31895	209	-135.0	135	31895	209	-135.0	135	31895	209	-135.0	135	31895
210	-157.0	157	32052	210	-157.0	157	32052	210	-157.0	157	32052	210	-157.0	157	32052
211	-141.0	141	32193	211	-141.0	141	32193	211	-141.0	141	32193	211	-141.0	141	32193
212	-149.0	149	32342	212	-149.0	149	32342	212	-149.0	149	32342	212	-149.0	149	32342
213	-136.0	136	32478	213	-136.0	136	32478	213	-136.0	136	32478	213	-136.0	136	32478
214	-136.0	136	32614	214	-136.0	136	32614	214	-136.0	136	32614	214	-136.0	136	32614
215	-136.0	136	32750	215	-136.0	136	32750	215	-136.0	136	32750	215	-136.0	136	32750
216	-134.0	134	32884	216	-134.0	134	32884	216	-134.0	134	32884	216	-134.0	134	32884
217	-137.0	137	33021	217	-137.0	137	33021	217	-137.0	137	33021	217	-137.0	137	33021
218	-134.0	134	33155	218	-134.0	134	33155	218	-134.0	134	33155	218	-134.0	134	33155
219	-138.0	138	33293	219	-138.0	138	33293	219	-138.0	138	33293	219	-138.0	138	33293
220	-137.0	137	33430	220	-137.0	137	33430	220	-137.0	137	33430	220	-137.0	137	33430
221	-139.0	139	33569	221	-139.0	139	33569	221	-139.0	139	33569	221	-139.0	139	33569
222	-112.0	112	33681	222	-112.0	112	33681	222	-112.0	112	33681	222	-112.0	112	33681
223	-107.0	107	33788	223	-107.0	107	33788	223	-107.0	107	33788	223	-107.0	107	33788
224	-107.0	107	33895	224	-107.0	107	33895	224	-107.0	107	33895	224	-107.0	107	33895
