Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
113	-13	13	1795	113	-13	13	1795	113	-13	13	1795	113	-13	13	1795	113	-13	13	1795	113	-13	13	1795	113	-13	13	1795	113	-13	13	1795
114	-13	13	1808	114	-13	13	1808	114	-13	13	1808	114	-13	13	1808	114	-13	13	1808	114	-13	13	1808	114	-13	13	1808	114	-13	13	1808
115	-13	13	1821	115	-13	13	1821	115	-13	13	1821	115	-13	13	1821	115	-13	13	1821	115	-13	13	1821	115	-13	13	1821	115	-13	13	1821
116	-13	13	1834	116	-13	13	1834	116	-13	13	1834	116	-13	13	1834	116	-13	13	1834	116	-13	13	1834	116	-13	13	1834	116	-13	13	1834
117	-13	13	1847	117	-13	13	1847	117	-13	13	1847	117	-13	13	1847	117	-13	13	1847	117	-13	13	1847	117	-13	13	1847	117	-13	13	1847
118	-13	13	1860	118	-13	13	1860	118	-13	13	1860	118	-13	13	1860	118	-13	13	1860	118	-13	13	1860	118	-13	13	1860	118	-13	13	1860
119	-15	15	1875	119	-15	15	1875	119	-15	15	1875	119	-15	15	1875	119	-15	15	1875	119	-15	15	1875	119	-15	15	1875	119	-15	15	1875
120	-226	28	1903	120	-226	28	1903	120	-226	28	1903	120	-226	28	1903	120	-226	28	1903	120	-226	28	1903	120	-226	28	1903	120	-226	28	1903
121	-13	13	1916	121	-13	13	1916	121	-13	13	1916	121	-13	13	1916	121	-13	13	1916	121	-13	13	1916	121	-13	13	1916	121	-13	13	1916
122	-15	15	1931	122	-15	15	1931	122	-15	15	1931	122	-15	15	1931	122	-15	15	1931	122	-15	15	1931	122	-15	15	1931	122	-15	15	1931
123	-13	13	1944	123	-13	13	1944	123	-13	13	1944	123	-13	13	1944	123	-13	13	1944	123	-13	13	1944	123	-13	13	1944	123	-13	13	1944
124	-13	13	1957	124	-13	13	1957	124	-13	13	1957	124	-13	13	1957	124	-13	13	1957	124	-13	13	1957	124	-13	13	1957	124	-13	13	1957
125	-13	13	1970	125	-13	13	1970	125	-13	13	1970	125	-13	13	1970	125	-13	13	1970	125	-13	13	1970	125	-13	13	1970	125	-13	13	1970
126	-14	14	1984	126	-14	14	1984	126	-14	14	1984	126	-14	14	1984	126	-14	14	1984	126	-14	14	1984	126	-14	14	1984	126	-14	14	1984
127	-13	13	1997	127	-13	13	1997	127	-13	13	1997	127	-13	13	1997	127	-13	13	1997	127	-13	13	1997	127	-13	13	1997	127	-13	13	1997
128	-13	13	2010	128	-13	13	2010	128	-13	13	2010	128	-13	13	2010	128	-13	13	2010	128	-13	13	2010	128	-13	13	2010	128	-13	13	2010
129	-13	13	2023	129	-13	13	2023	129	-13	13	2023	129	-13	13	2023	129	-13	13	2023	129	-13	13	2023	129	-13	13	2023	129	-13	13	2023
130	-15	15	2038	130	-15	15	2038	130	-15	15	2038	130	-15	15	2038	130	-15	15	2038	130	-15	15	2038	130	-15	15	2038	130	-15	15	2038
131	-128	29	2067	131	-128	29	2067	131	-128	29	2067	131	-128	29	2067	131	-128	29	2067	131	-128	29	2067	131	-128	29	2067	131	-128	29	2067
132	-17	17	2084	132	-17	17	2084	132	-17	17	2084	132	-17	17	2084	132	-17	17	2084	132	-17	17	2084	132	-17	17	2084	132	-17	17	2084
133	-13	13	2097	133	-13	13	2097	133	-13	13	2097	133	-13	13	2097	133	-13	13	2097	133	-13	13	2097	133	-13	13	2097	133	-13	13	2097
134	-13	13	2110	134	-13	13	2110	134	-13	13	2110	134	-13	13	2110	134	-13	13	2110	134	-13	13	2110	134	-13	13	2110	134	-13	13	2110
135	-15	15	2125	135	-15	15	2125	135	-15	15	2125	135	-15	15	2125	135	-15	15	2125	135	-15	15	2125	135	-15	15	2125	135	-15	15	2125
136	-13	13	2138	136	-13	13	2138	136	-13	13	2138	136	-13	13	2138	136	-13	13	2138	136	-13	13	2138	136	-13	13	2138	136	-13	13	2138
137	-18	18	2156	137	-18	18	2156	137	-18	18	2156	137	-18	18	2156	137	-18	18	2156	137	-18	18	2156	137	-18	18	2156	137	-18	18	2156
138	-13	13	2169	138	-13	13	2169	138	-13	13	2169	138	-13	13	2169	138	-13	13	2169	138	-13	13	2169	138	-13	13	2169	138	-13	13	2169
139	-13	13	2182	139	-13	13	2182	139	-13	13	2182	139	-13	13	2182	139	-13	13	2182	139	-13	13	2182	139	-13	13	2182	139	-13	13	2182
140	-233	35	2217	140	-233	35	2217	140	-233	35	2217	140	-233	35	2217	140	-233	35	2217	140	-233	35	2217	140	-233	35	2217	140	-233	35	2217
141	-13	13	2230	141	-13	13	2230	141	-13	13	2230	141	-13	13	2230	141	-13	13	2230	141	-13	13	2230	141	-13	13	2230	141	-13	13	2230
142	-115	16	2246	142	-115	16	2246	142	-115	16	2246	142	-115	16	2246	142	-115	16	2246	142	-115	16	2246	142	-115	16	2246	142	-115	16	2246
143	-126	27	2273	143	-126	27	2273	143	-126	27	2273	143	-126	27	2273	143	-126	27	2273	143	-126	27	2273	143	-126	27	2273	143	-126	27	2273
144	-124	25	2298	144	-124	25	2298	144	-124	25	2298	144	-124	25	2298	144	-124	25	2298	144	-124	25	2298	144	-124	25	2298	144	-124	25	2298
145	-17	17	2315	145	-17	17	2315	145	-17	17	2315	145	-17	17	2315	145	-17	17	2315	145	-17	17	2315	145	-17	17	2315	145	-17	17	2315
146	-13	13	2328	146	-13	13	2328	146	-13	13	2328	146	-13	13	2328	146	-13	13	2328	146	-13	13	2328	146	-13	13	2328	146	-13	13	2328
147	-15	15	2343	147	-15	15	2343	147	-15	15	2343	147	-15	15	2343	147	-15	15	2343	147	-15	15	2343	147	-15	15	2343	147	-15	15	2343
148	-125	26	2369	148	-125	26	2369	148	-125	26	2369	148	-125	26	2369	148	-125	26	2369	148	-125	26	2369	148	-125	26	2369	148	-125	26	2369
149	-13	13	2382	149	-13	13	2382	149	-13	13	2382	149	-13	13	2382	149	-13	13	2382	149	-13	13	2382	149	-13	13	2382	149	-13	13	2382
150	-118	19	2401	150	-118	19	2401	150	-118	19	2401	150	-118	19	2401	150	-118	19	2401	150	-118	19	2401	150	-118	19	2401	150	-118	19	2401
151	-15	15	2416	151	-15	15	2416	151	-15	15	2416	151	-15	15	2416	151	-15	15	2416	151	-15	15	2416	151	-15	15	2416	151	-15	15	2416
152	-17	17	2433	152	-17	17	2433	152	-17	17	2433	152	-17	17	2433	152	-17	17	2433	152	-17	17	2433	152	-17	17	2433	152	-17	17	2433
153	-17	17	2450	153	-17	17	2450	153	-17	17	2450	153	-17	17	2450	153	-17	17	2450	153	-17	17	2450	153	-17	17	2450	153	-17	17	2450
154	-126	27	2477	154	-126	27	2477	154	-126	27	2477	154	-126	27	2477	154	-126	27	2477	154	-126	27	2477	154	-126	27	2477	154	-126	27	2477
