Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
122	-28	28	9090	122	-28	28	9090	122	-28	28	9090	122	-28	28	9090	122	-28	28	9090	122	-28	28	9090	122	-28	28	9090
123	-30	30	9120	123	-30	30	9120	123	-30	30	9120	123	-30	30	9120	123	-30	30	9120	123	-30	30	9120	123	-30	30	9120
124	-167	68	9188	124	-167	68	9188	124	-167	68	9188	124	-167	68	9188	124	-167	68	9188	124	-167	68	9188	124	-167	68	9188
125	-129	30	9218	125	-129	30	9218	125	-129	30	9218	125	-129	30	9218	125	-129	30	9218	125	-129	30	9218	125	-129	30	9218
126	-26	26	9244	126	-26	26	9244	126	-26	26	9244	126	-26	26	9244	126	-26	26	9244	126	-26	26	9244	126	-26	26	9244
127	-43	43	9287	127	-43	43	9287	127	-43	43	9287	127	-43	43	9287	127	-43	43	9287	127	-43	43	9287	127	-43	43	9287
128	-35	35	9322	128	-35	35	9322	128	-35	35	9322	128	-35	35	9322	128	-35	35	9322	128	-35	35	9322	128	-35	35	9322
129	-270	72	9394	129	-270	72	9394	129	-270	72	9394	129	-270	72	9394	129	-270	72	9394	129	-270	72	9394	129	-270	72	9394
130	-28	28	9422	130	-28	28	9422	130	-28	28	9422	130	-28	28	9422	130	-28	28	9422	130	-28	28	9422	130	-28	28	9422
131	-143	44	9466	131	-143	44	9466	131	-143	44	9466	131	-143	44	9466	131	-143	44	9466	131	-143	44	9466	131	-143	44	9466
132	-216	18	9484	132	-216	18	9484	132	-216	18	9484	132	-216	18	9484	132	-216	18	9484	132	-216	18	9484	132	-216	18	9484
133	-18	18	9502	133	-18	18	9502	133	-18	18	9502	133	-18	18	9502	133	-18	18	9502	133	-18	18	9502	133	-18	18	9502
134	-37	37	9539	134	-37	37	9539	134	-37	37	9539	134	-37	37	9539	134	-37	37	9539	134	-37	37	9539	134	-37	37	9539
135	-27	27	9566	135	-27	27	9566	135	-27	27	9566	135	-27	27	9566	135	-27	27	9566	135	-27	27	9566	135	-27	27	9566
136	-29	29	9595	136	-29	29	9595	136	-29	29	9595	136	-29	29	9595	136	-29	29	9595	136	-29	29	9595	136	-29	29	9595
137	-20	20	9615	137	-20	20	9615	137	-20	20	9615	137	-20	20	9615	137	-20	20	9615	137	-20	20	9615	137	-20	20	9615
138	-140	41	9656	138	-140	41	9656	138	-140	41	9656	138	-140	41	9656	138	-140	41	9656	138	-140	41	9656	138	-140	41	9656
